link,title,author,journal,journal_issue,year,citation
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:P5F9QuxV20EC,Gold nanoflowers synthesized using Acanthopanacis cortex extract inhibit inflammatory mediators in LPS-induced RAW264. 7 macrophages via NF-κB and AP-1 pathways,"S Ahn, P Singh, M Jang, YJ Kim, V Castro-Aceituno, SY Simu, YJ Kim, ...",Colloids and Surfaces B: Biointerfaces,,2018,57
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:yD5IFk8b50cC,Gold nanoparticles synthesized using Panax ginseng leaves suppress inflammatory - mediators production via blockade of NF-κB activation in macrophages,"S Ahn, P Singh, V Castro-Aceituno, S Yesmin Simu, YJ Kim, ...","Artificial cells, nanomedicine, and biotechnology",45 (2),2017,57
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:LkGwnXOMwfcC,"Burkholderia ginsengiterrae sp. nov. and Burkholderia panaciterrae sp. nov., antagonistic bacteria against root rot pathogen Cylindrocarpon destructans, isolated …","MEA Farh, YJ Kim, H Van An, J Sukweenadhi, P Singh, MA Huq, ...",Archives of microbiology,197 (3),2015,51
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:CHSYGLWDkRkC,In situ preparation of water-soluble ginsenoside Rh2-entrapped bovine serum albumin nanoparticles: in vitro cytocompatibility studies,"P Singh, YJ Kim, H Singh, S Ahn, V Castro-Aceituno, DC Yang",International journal of nanomedicine,,2017,50
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:YOwf2qJgpHMC,Biodegradable polymeric substances produced by a marine bacterium from a surplus stream of the biodiesel industry,"S Bhattacharya, S Dubey, P Singh, A Shrivastava, S Mishra",Bioengineering,3 (4),2016,50
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:e5wmG9Sq2KIC,Biosynthesis of gold and silver chloride nanoparticles mediated by Crataegus pinnatifida fruit extract: in vitro study of anti-inflammatory activities,"JP Kang, YJ Kim, P Singh, Y Huo, V Soshnikova, J Markus, S Ahn, ...","Artificial Cells, Nanomedicine, and Biotechnology",46 (8),2018,45
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:AXPGKjj_ei8C,Retrospective analysis of the key molecules involved in the green synthesis of nanoparticles,"F Khan, GJ Jeong, P Singh, N Tabassum, I Mijakovic, YM Kim",Nanoscale,14 (40),2022,42
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:eMMeJKvmdy0C,Multiple potential strategies for the application of nisin and derivatives,"F Khan, P Singh, AS Joshi, N Tabassum, GJ Jeong, NI Bamunuarachchi, ...",Critical Reviews in Microbiology,49 (5),2023,39
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:ldfaerwXgEUC,Pathogenesis strategies and regulation of ginsenosides by two species of Ilyonectria in Panax ginseng: Power of speciation,"MEA Farh, YJ Kim, R Abbai, P Singh, KH Jung, YJ Kim, DC Yang",Journal of ginseng research,44 (2),2020,38
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:EUQCXRtRnyEC,Advances in gold nanoparticle technology as a tool for diagnostics and treatment of cancer,"P Singh, I Mijakovic",Expert review of molecular diagnostics,21 (7),2021,37
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:NhqRSupF_l8C,Rowan berries: a potential source for green synthesis of extremely monodisperse gold and silver nanoparticles and their antimicrobial property,"P Singh, I Mijakovic",Pharmaceutics,14 (1),2021,36
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:KxtntwgDAa4C,Engineering of mesoporous silica nanoparticles for release of ginsenoside CK and Rh2 to enhance their anticancer and anti-inflammatory efficacy: in vitro studies,"P Singh, H Singh, V Castro-Aceituno, S Ahn, YJ Kim, MEA Farh, DC Yang",Journal of Nanoparticle Research,19 (7),2017,32
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:_kc_bZDykSQC,Cross Interaction between Ilyonectria mors-panacis Isolates Infecting Korean Ginseng and Ginseng Saponins in Correlation with Their Pathogenicity,MEAFYJKPSDC Yang,Phytopathology,,2016,28
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:WF5omc3nYNoC,"Protopanaxadiol aglycone ginsenoside-polyethylene glycol conjugates: synthesis, physicochemical characterizations, and in vitro studies","R Mathiyalagan, YJ Kim, C Wang, Y Jin, S Subramaniyam, P Singh, ...","Artificial cells, nanomedicine, and biotechnology",44 (8),2016,28
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:2osOgNQ5qMEC,"Sphingomonas panacis sp. nov., isolated from rhizosphere of rusty ginseng","P Singh, YJ Kim, VA Hoang, MEA Farh, DC Yang",Antonie Van Leeuwenhoek,108 (3),2015,26
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:W7OEmFMy1HYC,"Cupriavidus yeoncheonense sp. nov., isolated from soil of ginseng","P Singh, YJ Kim, NL Nguyen, VA Hoang, J Sukweenadhi, MEA Farh, ...",Antonie van Leeuwenhoek,107 (3),2015,26
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:Y5dfb0dijaUC,Polydopamine/graphene oxide coatings loaded with tetracycline and green Ag nanoparticles for effective prevention of biofilms,"J Zhang, P Singh, Z Cao, S Rahimi, S Pandit, I Mijakovic",Applied Surface Science,,2023,24
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:35N4QoGY0k4C,Gold nanoparticles synthesized with fresh Panax ginseng leaf extract suppress adipogenesis by downregulating PPARγ/CEBPα signaling in 3T3-L1 mature adipocytes,"SY Simu, S Ahn, V Castro-Aceituno, P Singh, R Mathiyalagan, ...",Journal of Nanoscience and Nanotechnology,19 (2),2019,23
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:kzcrU_BdoSEC,"Harnessing the nutriceutics in early-stage breast cancer: mechanisms, combinational therapy, and drug delivery","ADPS Pavithra Pradeep Prabhu, Barsha Mohanty, Cynthia Lizzie Lobo, Sri ...",Journal of Nanobiotechnology,,2024,22
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:tKAzc9rXhukC,Cost-effective and eco-friendly sprayable nanogels (ZC-CSNG) for multifunctional wound dressing applications,"S Basak, P Singh, A Weller, FB Kadumudi, PJ Kempen, I Mijakovic, ...",Chemical Engineering Journal,,2025,19
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:tzM49s52ZIMC,Lactoferrin as a Versatile Agent in Nanoparticle Applications: From Therapeutics to Agriculture,"EA sçi, F Eker, H Duman, P Singh, M Bechelany, S Karav",Nanomaterials,,2024,19
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:iH-uZ7U-co4C,"Rhodoferax koreense sp. nov, an obligately aerobic bacterium within the family Comamonadaceae, and emended description of the genus Rhodoferax","MEA Farh, YJ Kim, P Singh, SY Jung, JP Kang, DC Yang",Journal of Microbiology,55 (10),2017,16
