link,title,author,journal,journal_issue,year,citation
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:dQ2og3OwTAUC,Eco-friendly synthesis & antibacterial applications of metal nanoparticles,"MA Huq, MM Rahman, P Singh, S Akter",Frontiers in Bioengineering and Biotechnology,,2023,3
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:j3f4tGmQtD8C,Distribution of antimicrobial ε-polylysine producing marine microbe in sea water along west coast of India,P Singh,Biomater Med,,2018,3
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:fPk4N6BV_jEC,"Paenibacilluspuernese sp. nov., a β-glucosidase-producing bacterium isolated from Pu’er tea","DD Wang, YJ Kim, VA Hoang, NL Nguyen, P Singh, C Wang, ...",Archives of microbiology,198 (3),2016,3
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:uLbwQdceFCQC,Microbial cell Systems for polyhydroxyalkanoate production and its diverse applications,"N Kunjar, P Singh, VJ Upadhye, A Shrivastava",Whole-Cell Biocatalysis,,2024,2
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:XD-gHx7UXLsC,Biogenic vs. Chemical AgNPs: A Comparison of Antimicrobial Potency and Stability,"M Madhusudanan, I Mijakovic, Singh, P",International Journal of Molecular Sciences,27 (1),2025,1
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:z_wVstp3MssC,Strain-Specific Bacillus subtilis-Derived Silver Nanoparticles for Effective Antibacterial Activity Against Multidrug-Resistant Pathogens: In Vitro Model,"P Singh, I Mijakovic",International Journal of Nanomedicine,,2025,1
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:35r97b3x0nAC,Anti-Cancer Potential of Copper-NTB Complex via Damaging Cellular Organelles and Apoptosis in Triple-Negative Breast Cancer Therapy,"SR Balusamy, M Balamurugan, S Nag, S Mohanto, MF Elsadek, ...",Nanoselect,,2025,1
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:evX43VCCuoAC,Comparative anti-cancer properties of carene isoforms induced apoptotic cell death in stomach and lung cancer cell lines,"SR Balusamy, A Samad, P Singh, S Sunderraj, MF Elsadek, N Altwaijry, ...",Naunyn-Schmiedeberg's Archives of Pharmacology,,2025,1
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:uc_IGeMz5qoC,Engineering combination nanomedicines to overcome cancer resistance,"H Singh, SR Balusamy, J Sukweenadhi, A Shrivastav, A Mohanprasanth, ...",RSC Advances,,2026,
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:0KyAp5RtaNEC,A Novel Approach to Combating Antibiotic Resistance: A Chitosan-Based Nanocomposite with Green AgNPs and Gentamicin,"M Madhusudanan, P Singh, V Ghai, S Pandit, R Kádár, I Mijakovic",International Journal of Molecular Sciences,27 (2),2026,
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:uJ-U7cs_P_0C,Advances in Precision Oncology Using Patient-Derived Organoids and Functional Biomaterials,"S Hina, M Ivan, S Priyanka",Frontiers in Cell and Developmental Biology,,2025,
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&cstart=20&pagesize=80&citation_for_view=CHvd3SUAAAAJ:mB3voiENLucC,Studies on Various Parameters Involved in Conjugation of Starch with Lysine for Excellent Emulsification Properties Using Response Surface Methodology,"S Bhattacharya, P Singh",,,,
